                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1504,                 1.4328,                 1.4924,                0.56312,                0.81818,                0.58022,                0.26828,                 1.3252,                 2.6947,                 2.2132,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0941,                 1.4977,                 1.4346,                0.76894,                0.65909,                 0.7178,                0.27936,                 1.3011,                 2.4425,                 2.1668,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1712,                 1.4248,                  1.559,                0.76894,                0.65909,                 0.7178,                0.27936,                 1.3011,                 2.4425,                 2.1668,               0.000614,               0.000614,               0.000614
                     38,                 1.0482,                 1.3714,                 1.4448,                0.83198,                0.68182,                0.79758,                0.28002,                  1.322,                 2.1937,                 2.0885,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1253,                 1.4126,                 1.5115,                0.91662,                 0.7496,                0.89157,                0.40062,                 1.1675,                 1.9192,                 1.8153,              0.0005348,              0.0005348,              0.0005348
                     40,                0.99391,                 1.3171,                 1.4239,                0.91662,                 0.7496,                0.89157,                0.40062,                 1.1675,                 1.9192,                 1.8153,              0.0004952,              0.0004952,              0.0004952
                     41,                  1.011,                 1.8062,                 1.5318,                0.91706,                0.79545,                0.90274,                0.58772,                0.90234,                 1.6007,                 1.4729,              0.0004556,              0.0004556,              0.0004556
                     42,                0.90867,                 1.6574,                 1.4553,                0.91706,                0.79545,                0.90274,                0.58772,                0.90234,                 1.6007,                 1.4729,               0.000416,               0.000416,               0.000416
                     43,                0.72518,                  1.438,                 1.2933,                0.83082,                0.93182,                0.92554,                0.65046,                0.84368,                 1.6308,                 1.4037,              0.0003764,              0.0003764,              0.0003764
                     44,                0.71596,                 1.3364,                 1.3204,                0.88621,                0.93182,                0.94692,                0.65356,                0.83141,                 1.5622,                 1.4065,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66337,                 1.3694,                 1.2592,                0.88621,                0.93182,                0.94692,                0.65356,                0.83141,                 1.5622,                 1.4065,              0.0002972,              0.0002972,              0.0002972
                     46,                0.70733,                 1.3531,                 1.3032,                0.90286,                0.93182,                0.94644,                0.67812,                0.86535,                 1.4935,                 1.4349,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71421,                 1.4114,                 1.2542,                0.94555,                0.84091,                0.93781,                0.71962,                0.77857,                 1.3676,                 1.3529,               0.000218,               0.000218,               0.000218
                     48,                0.64516,                 1.3061,                 1.2224,                0.94555,                0.84091,                0.93781,                0.71962,                0.77857,                 1.3676,                 1.3529,              0.0001784,              0.0001784,              0.0001784
                     49,                0.61446,                 1.3275,                 1.2567,                0.90861,                0.90391,                0.94193,                0.75866,                0.72158,                 1.2689,                 1.3182,              0.0001388,              0.0001388,              0.0001388
                     50,                0.61719,                  1.233,                 1.2615,                0.90861,                0.90391,                0.94193,                0.75866,                0.72158,                 1.2689,                 1.3182,               9.92e-05,               9.92e-05,               9.92e-05
